Item ID,Item Name,Category,Brand,Pack Size,Stock Status
1088,Lays Magic Masala ,Snacks,Fiesta,30x50g,IN STOCK
1089,Lays Spanish Tomato ,Snacks,Fiesta,30x50g,IN STOCK
1090,Lays Chilli Lemon ,Snacks,Fiesta,30x50g,IN STOCK
1091,Lays Classic Salted ,Snacks,Fiesta,30x50g,IN STOCK
1092,Uncle Chips Spicy Treat ,Snacks,Fiesta,30x50g,IN STOCK
1093,Maggi Noodles ,Grocery,Nestle,96x70g,IN STOCK
1094,Maggi Noodles ,Grocery,Nestle,24x280g,IN STOCK
1095,Maggi Noodles ,Grocery,Nestle,12x560g,IN STOCK
1096,Maggi Coconut Milk Powder ,Grocery,Nestle,24x300g,IN STOCK
1097,Maggi Coconut Milk Powder ,Grocery,Nestle,12x1kg,IN STOCK
1098,Tata Salt ,Grocery,Tata,12x1kg,IN STOCK
1099,Tata Tea Gold ,Grocery,Tata,16x450g,IN STOCK
1100,Tata Premium Tea ,Grocery,Tata,16x450g,IN STOCK
1101,Tata Tea Jar ,Grocery,Tata,16x400g,IN STOCK
1102,Tata Tea Bags Elaichi ,Grocery,Tata,12x50pc,IN STOCK
1103,Tata Tea Bags Ginger ,Grocery,Tata,12x50pc,IN STOCK
1104,Tata Tea Bags Masala ,Grocery,Tata,12x50pc,IN STOCK
1105,Red Label ,Grocery,Red Label,12x1kg,IN STOCK
1106,Taj Mahal ,Grocery,Red Label,12x1kg,IN STOCK
1107,Hyper Malt Can ,Drinks,Fiesta,24x330ml,IN STOCK
1108,Mirinda Can ,Drinks,Fiesta,24x330ml,IN STOCK
1109,Ginger Beer ,Drinks,Fiesta,24x330ml,IN STOCK
1110,Sweeto Worms ,Confectionery,Sweeto,12x80g,IN STOCK
1111,Sweeto Cherry ,Confectionery,Sweeto,12x80g,IN STOCK
1112,Sweeto Sour Rings ,Confectionery,Sweeto,12x80g,IN STOCK
1113,Sweeto Sour Strawberry ,Confectionery,Sweeto,12x80g,IN STOCK
1114,Sweeto Sour Rainbow ,Confectionery,Sweeto,12x80g,IN STOCK
1115,Sweeto Unicorn ,Confectionery,Sweeto,12x80g,IN STOCK
1116,Sweeto Bear ,Confectionery,Sweeto,12x80g,IN STOCK
1117,Sweeto Tangy ,Confectionery,Sweeto,12x80g,IN STOCK
1118,Sweeto Grape ,Confectionery,Sweeto,12x80g,IN STOCK
1119,Sweeto Rainbow Belts (Extra Sour) ,Confectionery,Sweeto,12x80g,IN STOCK
1120,Sweeto Cola ,Confectionery,Sweeto,12x80g,IN STOCK
1121,Sweeto Marshmallow Cube ,Confectionery,Sweeto,12x140g,IN STOCK
1122,Sweeto Marshmallow Pink&White ,Confectionery,Sweeto,12x140g,IN STOCK
1123,Sweeto Marshmallow Watermelon ,Confectionery,Sweeto,12x140g,IN STOCK
1124,Sweeto Marshmallow Roller ,Confectionery,Sweeto,12x140g,IN STOCK
1125,Sweeto Marshmallow Heart ,Confectionery,Sweeto,12x140g,IN STOCK
1126,Sweeto Marshmallow Twist ,Confectionery,Sweeto,12x140g,IN STOCK
1127,Sweeto Marshmallow Flora ,Confectionery,Sweeto,12x140g,IN STOCK
1128,Sweeto Marshmallow Unicorn ,Confectionery,Sweeto,12x140g,IN STOCK
1129,Sweeto Marshmallow Strawberry ,Confectionery,Sweeto,12x140g,IN STOCK
1130,Sweeto Marshmallow Twister ,Confectionery,Sweeto,36x4x20g,IN STOCK
1131,Dawat Basmati Rice ,Rice,Dawat,20kg,IN STOCK
1132,Dawat Basmati Rice ,Rice,Dawat,10kg,OUT OF STOCK
1133,Dawat Basmati Rice ,Rice,Dawat,5kg,OUT OF STOCK
1134,Mom Made Plain Paratha ,Frozen,Mom,20x4x400g,IN STOCK
1135,Mom Made Spicy Paratha ,Frozen,Mom,20x4x400g,IN STOCK
1136,Mom Made Methi Paratha ,Frozen,Mom,20x4x400g,IN STOCK
1137,Mom Made Missi Roti ,Frozen,Mom,20x4x400g,IN STOCK
